number,Prefectures,seven,family,Lawson,density
1,Hokkaido,1000,240,673,66.47
2,Aomori,94,199,270,127.57
3,Iwate,147,184,175,79.36
4,Miyagi,412,350,253,314.83
5,Akita,108,146,185,81.81
6,Yamagata,184,143,114,114.23
7,Hukushima,453,179,164,132.77
8,Ibaraki,645,336,223,468.09
9,Tochigi,449,222,200,301.51
10,Gunma,468,122,242,302.78
11,Saitama,1205,787,690,1933.63
12,Chiba,1122,629,602,1217.90
13,Tokyo,2763,2451,1699,6367.78
14,Kanagawa,1456,996,1087,3813.63
15,Nigata,430,179,225,174.81
16,Toyama,131,247,105,243.59
17,Ishikawa,137,247,105,269.97
18,Hukui,68,152,110,182
19,Yamanashi,207,82,135,180.55
20,Nagano,462,265,172,149.99
21,Gihu,195,343,181,185.87
22,Shizuoka,738,491,285,465.32
23,Aichi,1054,1577,721,1457.77
24,Mie,167,394,138,306.11
25,Shiga,238,157,156,351.58
26,Kyoto,355,329,322,556.88
27,Osaka,1253,1365,1112,4627.76
28,Hyogo,697,530,665,647.4
29,Nara,140,147,138,358.44
30,Wakayama,85,116,149,193.47
31,Tottori,39,72,139,157.22
32,Shimane,60,66,145,99.43
33,Okayama,310,238,203,264.59
34,Hiroshima,598,269,237,329.6
35,Yamaguchi,329,92,116,219.47
36,Tokushima,83,84,136,173.94
37,Kagawa,103,124,134,505.55
38,Ehime,124,234,211,233.69
39,Kochi,41,106,138,97.1
40,Hukuoka,1017,533,517,1024.12
41,Saga,188,74,74,331.39
42,Nagasaki,202,154,111,317.28
43,Kumamoto,354,199,159,234.28
44,Oita,181,119,189,177.42
45,Miyazaki,196,123,104,137.52
46,Kagoshima,199,270,196,172.78
47,Okinawa,42,326,240,639.12
